Amélie de Montchalin;ameli də mɔ̃tʃalɛ̃
Sébastien Peytavie;sebastjɑ̃ pɛtavi
Jérémy Bacchi;ʒeremi bakʃi
Christopher Weissberg;ʃristɔfe wɛsbɛrɡ
Yves Détraigne;yvə detrɛɲ
Jérôme Buisson;ʒeromə bɥisɔ̃
Éric Pauget;erik poʒɛt
Bastien Lachaud;bastjɑ̃ laʃo
Luc Lamirault;lyk lamirol
Marie-Jeanne Bellamy;mariʒəɑ̃nə bɛlami
Daniel Fargeot;daniɛl farʒɔ
Olivier Klein;ɔliví klɛ̃
Emeline K/Bidi;əmɛlinə k/bidi
Alain Chatillon;alɛ̃ ʃatilɔ̃
Julien Bargeton;ʒyliɑ̃ barʒɛtɔ̃
Pascale Boyer;paskalə bwá
Karine Lebon;karinə lɛbɔ̃
Françoise Dumont;frɑ̃swazə dymɔ̃t
Dominique Potier;dɔminikə pɔtje
Romain Baubry;rɔmɛ̃ bobri
Michel Sala;miʃɛl sala
Jean-Pierre Moga;ʒəɑ̃piɛrrə mɔɡa
Pierre-Henri Dumont;piɛrrəɑ̃ri dymɔ̃t
Caroline Colombier;karɔlinə kɔlɔ̃bí
Mounir Belhamiti;munir bɛlamitj
Bertrand Petit;bɛrtrɑ̃d pɛtit
Anne Ventalon;ɑ̃nə vɑ̃talɔ̃
Prisca Thevenot;priska təvɛnɔ
Françoise Buffet;frɑ̃swazə byfɛt
Alain Cazabonne;alɛ̃ kazabɔ̃n
Bruno Le Maire;brynɔ lə mɛr
José Gonzalez;ʒɔze ɡɔ̃zale
Paul-André Colombani;polɑ̃dre kɔlɔ̃bani
Fabien Gay;fabiɑ̃ ɡɛ
Marc Laménie;mark lameni
Fabien Roussel;fabiɑ̃ rusɛl
Nicolas Thierry;nikɔla tiɛrri
Isabelle Florennes;izabələ flɔrɑ̃n
Brigitte Liso;briʒitə lizɔ
Jean-François Rousset;ʒəɑ̃frɑ̃swa rusɛt
Jean-François Carenco;ʒəɑ̃frɑ̃swa karɑ̃kɔ
Khalifé Khalifé;kalife kalife
Jean-Louis Thiériot;ʒəɑ̃lwi tíriɔ
Loïc Kervran;loik kɛrvrɑ̃
Jean Hingray;ʒəɑ̃ ɛ̃ɡrɛ
Fabienne Colboc;fabiɑ̃nə kɔlbɔk
Jean-Marie Mizzon;ʒəɑ̃mari mizzɔ̃
Hubert Brigand;ybɛr briɡɑ̃d
José Beaurain;ʒɔze borɛ̃
Muriel Jourda;myriɛl ʒurda
Annick Cousin;ɑ̃nikk kuzɛ̃
Fabrice Brun;fabrizə brœ̃
Joël Aviragnet;ʒɔɛl aviraɲɛt
Pierre Frogier;piɛrrə frɔʒí
Stella Dupont;stəla dypɔ̃t
Anthony Brosse;ɑ̃tɔni brɔs
Fabien Di Filippo;fabiɑ̃ di filipɔ
Eva Sas;əva sa
Vanina Paoli-Gagin;vanina paɔliɡaʒɛ̃
Jean-Yves Bony;ʒəɑ̃iv bɔni
Frantz Gumbs;frɑ̃tz ɡymb
Sébastien Meurant;sebastjɑ̃ mœrɑ̃t
Olivier Bitz;ɔliví bitz
Pierre Cazeneuve;piɛrrə kazɛnœv
Philippe Dunoyer;filipə dynwá
Olivier Rietmann;ɔliví riɛtmɑ̃n
Céline Boulay-Espéronnier;selinə bulɛɛsperɔ̃ní
Angélique Ranc;ɑ̃ʒelikə rɑ̃
Anne Bergantz;ɑ̃nə bɛrɡɑ̃tz
Christian Bruyen;ʃristjɑ̃ brɥiɑ̃
Laurent Lafon;lorə lafɔ̃
Isabelle Valentin;izabɛlə valɑ̃tɛ̃
François Gernigon;frɑ̃swa ʒɛrniɡɔ̃
Henri Leroy;ɑ̃ri lɛrwa
Mathieu Darnaud;matjœ darno
Liliana Tanguy;liliana tɑ̃ɡyi
Jean-Philippe Ardouin;ʒəɑ̃filip ardwə̃
Christophe Bex;ʃristɔfə bɛ
Christelle D'Intorni;ʃristɛlə d'ɛ̃tɔrni
Jean-Pierre Sueur;ʒəɑ̃piɛrrə sɥœr
Marie-Noëlle Battistel;marinɔɛlə batistɛl
Justine Gruet;ʒystinə ɡrɥɛt
Francis Szpiner;frɑ̃si szpine
Meyer Habib;mɛe abib
Agnès Evren;aɲɛ ɛvrɑ̃
Annie Vidal;ɑ̃ni vidal
Matthias Tavel;matia tavɛl
Jean-Noël Guérini;ʒəɑ̃nɔɛl ɡɥɛ́rini
Claire Colomb-Pitollat;klɛrə kɔlɔ̃bpitɔla
Jean-Jacques Panunzi;ʒəɑ̃ʒakk panœ̃zi
Murielle Lepvraud;myriɛlə lɛpvro
Bruno Studer;brynɔ styde
Clément Beaune;klemɛn bon
Saïd Omar Oili;sai ɔmar ɔji
Éric Kerrouche;erik kɛrruʃ
Vivette Lopez;vivɛtə lɔpe
Yannick Monnet;iɑ̃nikk mɔ̃nɛt
Mathilde Panot;matildə panɔ
Laurent Jacobelli;lorə ʒakɔbɛli
Nathalie Goulet;natali ɡulɛt
Anne-Sophie Romagny;ɑ̃nəsɔfi rɔmaɲi
Hervé Marseille;ɛrve marsɛj
Frédérique Gerbaud;frederikə ʒɛrbo
Jean-Pierre Grand;ʒəɑ̃piɛrrə ɡrɑ̃d
Rémy Pointereau;remi pwɛ̃tɛro
Aymeric Caron;ɛmɛrik karɔ̃
Véronique de Montchalin;verɔnikə də mɔ̃tʃalɛ̃
Éric Bothorel;erik bɔtɔrɛl
Philippe Paul;filipə pol
Ronan Dantec;rɔnɑ̃ dɑ̃tɛk
Angèle Préville;ɑ̃ʒɛlə previj
Brigitte Micouleau;briʒitə mikulo
Sylvain Carrière;silvɛ̃ karrìr
Gilles Le Gendre;ʒil lə ʒɑ̃dr
Pierre Dharréville;piɛrrə darrevij
Guillaume Gontard;ɡyjomə ɡɔ̃tar
Jean-Marie Fiévet;ʒəɑ̃mari fívɛt
Éric Alauzet;erik alozɛt
Christine Bonfanti-Dossat;ʃristinə bɔ̃fɑ̃tidɔsa
Estelle Folest;ɛstɛlə fɔl
Constance Le Grip;kɔ̃stɑ̃sə lə ɡri
Thomas Gassilloud;tɔma ɡasilu
Steve Chailloux;stəvə ʃaju
Freddy Sertin;frɛdi sɛrtɛ̃
Pascal Allizard;paskal alizar
Julie Laernoes;ʒyli laɛrnɔ
Victoire Jasmin;viktwarə ʒasmɛ̃
Frédérique Meunier;frederikə mœní
Anne-Laurence Petel;ɑ̃nəlorɑ̃sə pətɛl
Guislain Cambier;ɡyislɛ̃ kɑ̃bí
Mélanie Thomin;melani tɔmɛ̃
Jean-Victor Castor;ʒəɑ̃viktɔr kastɔr
Jean-Michel Houllegatte;ʒəɑ̃miʃəl ulɛɡat
Tematai Le Gayic;təmatɛ lə ɡɛik
Xavier Breton;ksaví brɛtɔ̃
Frédéric Valletoux;frederik valɛtu
Annie Le Houerou;ɑ̃ni lə wɛru
Franck Montaugé;frɑ̃kk mɔ̃toʒe
Olivier Paccaud;ɔliví pakso
Victor Habert-Dassault;viktɔr abɛrdasol
Aurélien Lopez-Liguori;oreliɑ̃ lɔpeliɡyɔri
Claude Kern;klodə kɛrn
Laurent Panifous;lorə panifu
Raphaël Daubet;rafaə̈l dobɛt
Michel Bonnus;miʃɛl bɔ̃ny
Francesca Pasquini;frɑ̃sɛska paskini
Sophie Blanc;sɔfi blɑ̃
Hadrien Ghomi;adriɑ̃ ɡɔmi
Jean-Jacques Michau;ʒəɑ̃ʒakk miʃo
Nicolas Dupont-Aignan;nikɔla dypɔ̃tɛɲɑ̃
Anne Souyris;ɑ̃nə sɔɥiri
Élodie Jacquier-Laforge;elɔdi ʒakkílafɔrʒ
Karen Erodi;karɑ̃ ɛrɔdi
François Calvet;frɑ̃swa kalvɛt
Christian Baptiste;ʃristjɑ̃ baptist
Bertrand Bouyx;bɛrtrɑ̃d bɔɥi
Éric Dupond-Moretti;erik dypɔ̃dmɔrɛti
Kévin Pfeffer;kevɛ̃ pfɛfe
Julien Dive;ʒyliɑ̃ div
Alexandre Portier;alɛxɑ̃drə pɔrtje
Quentin Bataillon;kɑ̃tɛ̃ batajɔ̃
Xavier Iacovelli;ksaví iakɔvɛli
Edwige Diaz;ɛdwiʒə diaz
Daniel Grenon;danil ɡrɛnɔ̃
Alain Joyandet;alɛ̃ ʒwaɑ̃dɛt
Bruno Retailleau;brynɔ rɛtajo
Olga Givernet;ɔlɡa ʒivɛrnɛt
Julie Delpech;ʒyli dɛlpɛʃ
Alexandra Masson;alɛxɑ̃dra masɔ̃
Anne Stambach-Terrenoir;ɑ̃nə stɑ̃baʃətɛrrɛnwar
Jean-François Rapin;ʒəɑ̃frɑ̃swa rapɛ̃
Cécile Cukierman;sesilə kykiɛrmɑ̃
Bernard Jomier;bɛrnar ʒɔmí
Vincent Delahaye;vɛ̃kɛn dɛlaɛ
Chantal Bouloux;ʃɑ̃tal bulu
Véronique Del Fabro;verɔnikə dɛl fabrɔ
Béatrice Bellamy;beatrizə bɛlami
Florence Blatrix Contat;flɔrɑ̃sə blatri kɔ̃ta
Lisette Pollet;lizɛtə pɔlɛt
Marie-Claire Carrère-Gée;mariklɛrə karrɛrəʒe
Ugo Bernalicis;yɡɔ bɛrnalizi
Émilienne Poumirol;emiliɑ̃nə pumirɔl
Violette Spillebout;viɔlɛtə spilɛbu
Sylvie Valente Le Hir;silvi valɑ̃tə lə ir
Else Joseph;ɛlsə ʒɔzɛf
Christophe Blanchet;ʃristɔfə blɑ̃ʃɛt
Cyrille Isaac-Sibille;sirij izaaksibij
Christine Le Nabour;ʃristinə lə nabur
Justine Benin;ʒystinə bɛnɛ̃
Olivier Becht;ɔliví bɛʃ
Roger Chudeau;rɔʒe ʃydo
Josiane Corneloup;ʒɔzianə kɔrnɛlu
Nathalie Bassire;natali basir
Olivier Falorni;ɔliví falɔrni
Nicole Le Peih;nikɔlə lə pɛ
Hélène Conway-Mouret;elɛnə kɔ̃wɛmurɛt
Alexandre Sabatou;alɛxɑ̃drə sabatu
Daniel Gremillet;danil ɡrəmilɛt
Vincent Segouin;vɛ̃kɛn sɛɡwə̃
Caroline Cayeux;karɔlinə kɛy
Jean-Philippe Nilor;ʒəɑ̃filipə nilɔr
Akli Mellouli;akli mɛluli
Yannick Favennec-Bécot;iɑ̃nikk favɑ̃nɛkbekɔ
Didier Paris;didí pari
Jean-Raymond Hugonet;ʒəɑ̃rɛmɔ̃d yɡɔnɛt
Damien Regnard;damiɑ̃ rɛɲar
Michel Savin;miʃɛl savɛ̃
Albéric de Montgolfier;alberik də mɔ̃tɡɔlfí
Jean Bacci;ʒəɑ̃ baksi
Roger Karoutchi;rɔʒe karutʃi
Laetitia Saint-Paul;laətitja sɛ̃pol
Richard Ramos;riʃar ramɔ
Laurence Vichnievsky;lorɑ̃sə viʃniɛvski
Ian Boucard;iɑ̃ bukar
Danielle Brulebois;danilə brylɛbwa
Jean-Michel Jacques;ʒəɑ̃miʃəl ʒakk
Luc Geismar;lyk ʒɛsmar
Philippe Grosvalet;filipə ɡrɔsvalɛt
Thomas Portes;tɔma pɔrt
Pascale Gruny;paskalə ɡryni
Philippe Bas;filipə ba
Pierre Laurent;piɛrrə lor
Lionel Royer-Perreaut;liɔnɛl rwápɛrro
Élisa Martin;eliza martɛ̃
Sandrine Le Feur;sɑ̃drinə lə fœr
Damien Maudet;damiɑ̃ modɛt
Jean-Paul Prince;ʒəɑ̃pol prɛ̃k
Farida Amrani;farida ɑ̃rani
Bernard Fialaire;bɛrnar fialɛr
Stéphane Mazars;stefanə mazar
Rachid Temal;raʃi tɛmal
Pascale Martin;paskalə martɛ̃
Annie Genevard;ɑ̃ni ʒənɛvar
Alexis Corbière;alɛxi kɔrbìr
Aurélien Taché;oreliɑ̃ taʃe
Cyrielle Chatelain;sirilə ʃatɛlɛ̃
Viviane Malet;vivianə malɛt
Martine Etienne;martin ɛtjɑ̃n
Jean-Paul Mattei;ʒəɑ̃pol matɛ
Emmanuel Pellerin;ɑ̃manɥəl pəlɛrɛ̃
Pierre Ouzoulias;piɛrr uzulia
Isabelle Rauch;izabɛlə roʃ
Évelyne Renaud-Garabedian;evəlinə rənoɡarabɛdiɑ̃
Laurent Somon;lorə sɔmɔ̃
Nicolas Metzdorf;nikɔla mɛtzdɔrf
Jean-Félix Acquaviva;ʒəɑ̃feli akkaviva
André Chassaigne;ɑ̃dre ʃasɛɲ
Raphaël Schellenberger;rafaə̈l sʃɛlɑ̃bɛrʒe
Patricia Mirallès;patrizia miralɛ
Lauriane Josende;lorianə ʒɔzɑ̃d
Didier Le Gac;didí lə ɡak
David Valence;davi valɑ̃s
Nicolas Sansu;nikɔla sɑ̃sy
Martine Berthet;martinə bɛrtɛt
Daniel Gueret;danil ɡɥɛrɛt
Michel Herbillon;miʃɛl ɛrbilɔ̃
Cédric Vial;sedrik vial
Marie Mercier;mari mɛrkí
Fatiha Keloua Hachi;fatja kɛlwa aʃi
Yan Chantrel;iɑ̃ ʃɑ̃trɛl
Mathilde Desjonquères;matildə dɛsʒɔ̃kɛr
Marie-Noëlle Lienemann;marinɔɛlə ljɛ̃ɛmɑ̃n
Benoit Mournet;bənwat murnɛt
Laurence Heydel Grillere;lorɑ̃s ɛdəl ɡrilɛr
Thierry Cozic;tiɛrri kɔzik
Marie-Arlette Carlotti;mariarlɛtə karlɔti
Pieyre-Alexandre Anglade;piirəalɛxɑ̃dr ɑ̃ɡlad
François-Noël Buffet;frɑ̃swanɔɛl byfɛt
Nadège Abomangoli;nadɛʒ abɔmɑ̃ɡɔli
Solanges Nadille;sɔlɑ̃ʒ nadij
Catherine Deroche;katərinə dɛrɔʃ
Olivia Grégoire;ɔlivia ɡreɡwar
Hervé Berville;ɛrve bɛrvij
Rémi Cardon;remi kardɔ̃
Pierre Médevielle;piɛrrə medəviɛl
Catherine Conconne;katɛrinə kɔ̃kɔ̃n
Yaël Braun-Pivet;yaə̈l braœ̃pivɛt
Pauline Martin;polinə martɛ̃
Frédéric Boccaletti;frederik bɔksalɛti
Catherine Procaccia;katɛrinə prɔkaksia
Bernard Fournier;bɛrnar furní
Nicolas Ray;nikɔla rɛ
David Guiraud;davi ɡyiro
Nadine Bellurot;nadinə bɛlyrɔ
Stanislas Guerini;stanisla ɡyɛrini
Pierre Charon;piɛrrə ʃarɔ̃
Nicole Duranton;nikɔlə dyrɑ̃tɔ̃
Laurent Duplomb;lorə dyplɔ̃b
Annaïg Le Meur;ɑ̃nai lə mœr
Évelyne Perrot;evɛlinə pɛrrɔ
Philippe Sorez;filipə sɔre
Catherine Belrhiti;katɛrinə bɛlritj
David Taupiac;davi topiak
Sylvain Maillard;silvɛ̃ majar
Joshua Hochart;ʒɔsɥa ɔʃar
Jean-Noël Barrot;ʒəɑ̃nɔɛl barrɔ
Philippe Tabarot;filipə tabarɔ
Jean-Luc Warsmann;ʒəɑ̃lyk warsmɑ̃n
Victor Catteau;viktɔr kato
Sonia de la Provôté;sɔnia də la prɔvote
Charlotte Caubel;ʃarlɔtə kobɛl
Frédéric Marchand;frederik marʃɑ̃d
Servane Hugues;sɛrvan yɡy
Stéphane Sautarel;stefanə sotarɛl
Olivier Marleix;ɔliví marlɛ
Belkhir Belhaddad;bɛlkir bɛlada
Alain Richard;alɛ̃ riʃar
Nassimah Dindar;nasima dɛ̃dar
Inaki Echaniz;inaki ɛʃaniz
Antoine Léaument;ɑ̃twanə leomɛn
Patrick Kanner;patrikk kɑ̃ne
Laurence Robert-Dehault;lorɑ̃sə rɔbɛrdəol
Nathalie Serre;natali sɛrr
Sophie Primas;sɔfi prima
Nadège Havet;nadɛʒ avɛt
Rachel Keke;raʃəl kɛk
Clara Chassaniol;klara ʃasaniɔl
Marie-France Lorho;marifrɑ̃sə lɔrɔ
Agnès Canayer;aɲɛ kanɛ́
Pascal Lavergne;paskal lavɛrɲ
Christine Arrighi;ʃristin arriɡi
Estelle Youssouffa;ɛstɛl iusufa
Antoine Villedieu;ɑ̃twanə vilɛdjœ
Charles Sitzenstuhl;ʃarl sitzɑ̃styl
Étienne Blanc;etjɑ̃nə blɑ̃
Marc-Philippe Daubresse;markfilipə dobrɛs
Florence Lasserre;flɔrɑ̃sə lasɛrr
Jimmy Pahun;ʒɛ̃mi paœ̃
Bernard Bonne;bɛrnar bɔ̃n
Franck Riester;frɑ̃kk riɛste
Thierry Frappé;tiɛrri frape
Sylvie Robert;silvi rɔbɛr
Sophie Panonacle;sɔfi panɔnakl
Daniel Labaronne;daniɛl labarɔ̃n
Corinne Bourcier;kɔrɛ̃nə burkí
Gérard Poadja;ʒerar pɔadʒa
Bérangère Couillard;berɑ̃ʒɛrə kujar
Thibault Bazin;tibol bazɛ̃
Christine Decodts;ʃristinə dɛkɔd
Marie-Pierre de la Gontrie;maripiɛrrə də la ɡɔ̃tri
Arnaud Bazin;arno bazɛ̃
Stéphane Lenormand;stefanə lɛnɔrmɑ̃d
Philippe Pemezec;filipə pəməzɛk
Gabriel Amard;ɡabriɛl amar
Jean-Pierre Corbisez;ʒəɑ̃piɛrrə kɔrbize
Anne-Sophie Frigout;ɑ̃nəsɔfi friɡu
Roland Lescure;rɔlɑ̃d lɛskyr
Lise Magnier;lizə maɲí
Didier Parakian;didí parakiɑ̃
Naïma Moutchou;naima mutʃu
Charlotte Leduc;ʃarlɔtə lɛdyk
Maurice Antiste;moriz ɑ̃tist
Vincent Bru;vɛ̃kɛn bry
Sylvie Goy-Chavent;silvi ɡwaʃavɛn
Vincent Rolland;vɛ̃kɛn rɔlɑ̃d
Viviane Artigalas;vivian artjɡala
Hussein Bourgi;ysɛ̃ burʒi
Pierre Barros;piɛrrə barrɔ
Jérôme Darras;ʒeromə darra
Emmanuelle Ménard;ɑ̃manɥɛlə menar
Pierre-Antoine Levi;piɛrrəɑ̃twanə lɛvi
Karim Ben Cheikh;karɛ̃ bɑ̃ ʃɛk
Silvana Silvani;silvana silvani
Moetai Brotherson;moetɛ brɔtɛrsɔ̃
Guillaume Chevrollier;ɡyjomə ʃɛvrɔlí
Didier Lemaire;didí lɛmɛr
Philippe Bolo;filipə bɔlɔ
Édouard Bénard;edwar benar
Sébastien Rome;sebastjɑ̃ rɔm
Nathalie Delattre;natali dɛlatr
David Amiel;davi amiɛl
Philippe Folliot;filipə fɔliɔ
Laure Miller;lorə mile
Stéphane Peu;stefanə pœ
Dominique Da Silva;dɔminikə da silva
Joris Hébrard;ʒɔri ebrar
Philippe Guillemard;filipə ɡyjmar
Alain Milon;alɛ̃ milɔ̃
Olivier Henno;ɔliví ɑ̃nɔ
Bruno Sido;brynɔ sidɔ
Didier Mandelli;didí mɑ̃dɛli
Stéphanie Galzy;stefani ɡalzi
Éric Martineau;erik martino
Mikaele Seo;mikaɛlə səɔ
Christophe Chaillou;ʃristɔfə ʃaju
Stéphanie Rist;stefani ris
Guy Benarroche;ɡyi bɛnarrɔʃ
Jean-Marc Vayssouze-Faure;ʒəɑ̃mark vɛsuzəfor
Gérard Lahellec;ʒerar laəlɛk
Jean-René Cazeneuve;ʒəɑ̃rəne kazɛnœv
Corinne Féret;kɔrɛ̃nə ferɛt
Charles Fournier;ʃarl furní
Marina Ferrari;marina fɛrrari
Jérôme Bascher;ʒeromə basʃe
Stéphane Rambaud;stefanə rɑ̃bo
Michel Dennemont;miʃəl dɑ̃nɛmɔ̃t
Dino Cinieri;dinɔ siniɛri
Lionel Tivoli;liɔnɛl tivɔli
Nicole Dubré-Chirat;nikɔlə dybreʃira
Gérald Darmanin;ʒerald darmanɛ̃
Florence Goulet;flɔrɑ̃sə ɡulɛt
Marie-Laure Phinera-Horth;marilorə finraɔrt
Françoise Gatel;frɑ̃swazə ɡatɛl
Karine Daniel;karinə daniɛl
Grégory Blanc;ɡreɡɔri blɑ̃
Laure Darcos;lorə darkɔ
Michèle Martinez;miʃɛlə martine
Hubert Julien-Laferrière;ybɛr ʒyliɑ̃lafɛrrìr
Kristina Pluchet;kristina plyʃɛt
Adel Ziane;adɛl zian
Frank Giletti;frɑ̃k ʒilɛti
Denise Saint-Pé;dənizə sɛ̃pe
Ian Brossat;iɑ̃ brɔsa
Jean-François Coulomme;ʒəɑ̃frɑ̃swa kulɔm
Michel Dagbert;miʃɛl daɡbɛr
Stéphanie Kochert;stefani kɔʃɛr
Philippe Vigier;filipə viʒí
Gabriel Attal;ɡabriɛl atal
Marlène Schiappa;marlɛnə sʃiapa
Pierre Vatin;piɛrrə vatɛ̃
Danielle Simonnet;danilə simɔ̃nɛt
Marie-Do Aeschlimann;maridɔ aɛsʃlimɑ̃n
Matthieu Marchio;matjœ marʃiɔ
Jean Pierre Vogel;ʒəɑ̃ piɛrrə vɔʒɛl
Frédérique Puissat;frederikə pɥisa
Sandra Marsaud;sɑ̃dra marso
Jean-François Husson;ʒəɑ̃frɑ̃swa ysɔ̃
Jean-Jacques Lozach;ʒəɑ̃ʒakk lɔzaʃ
Anne Grignon;ɑ̃nə ɡriɲɔ̃
Thierry Benoit;tiɛrri bɛnwat
Bernard Pillefer;bɛrnar pilɛfe
Jean-Marie Vanlerenberghe;ʒəɑ̃mari vɑ̃lɛrɑ̃bɛrɡ
Philippe Fait;filipə fɛ
Stéphane Buchou;stefanə byʃu
Christophe Bentz;ʃristɔfə bɛntz
Bastien Marchive;bastjɑ̃ marʃiv
Olivia Richard;ɔlivia riʃar
Michaël Weber;miʃaə̈l wɛbe
Michèle Tabarot;miʃɛlə tabarɔ
Sarah Tanzilli;sara tɑ̃zili
Marie-Carole Ciuntu;marikarɔlə siœ̃ty
Mansour Kamardine;mɑ̃sur kamardin
André Guiol;ɑ̃dre ɡyiɔl
Jean-Paul Lecoq;ʒəɑ̃pol lɛkɔk
Elsa Faucillon;ɛlsa fozilɔ̃
Stéphane Piednoir;stefanə piɛdnwar
Marcellin Nadeau;markɛlɛ̃ nado
Nicolas Forissier;nikɔla fɔrisí
François Braun;frɑ̃swa braœ̃
Philippe Brun;filipə brœ̃
Agnès Pannier-Runacher;aɲɛ pɑ̃nírynaʃe
Yannick Jadot;iɑ̃nikk ʒadɔ
Mohamed Laqhila;mɔamɛ lakila
François Patriat;frɑ̃swa patria
Anna Pic;ɑ̃na pik
Stéphane Demilly;stefanə dɛmili
Béatrice Descamps;beatrizə dɛskɑ̃p
Philippe Latombe;filipə latɔ̃b
Jean-Louis Bricout;ʒəɑ̃lwi briku
François Jolivet;frɑ̃swa ʒɔlivɛt
Rémi Féraud;remi fero
Hadrien Clouet;adriɑ̃ klwɛt
Aurélien Pradié;oreliɑ̃ pradí
Louis Boyard;lwi bwaar
Jean Terlier;ʒəɑ̃ tɛrlí
Sébastien Jumel;sebastjɑ̃ ʒymɛl
Olivier Jacquin;ɔliví ʒakkɛ̃
Geneviève Darrieussecq;ʒənɛvìvə darrjœsɛkk
Chrysoula Zacharopoulou;ʃrisula zaʃarɔpulu
Martine Filleul;martinə filœl
Mireille Clapot;mirɛj klapɔ
Véronique Guillotin;verɔnikə ɡyjɔtɛ̃
Emmanuel Maquet;ɑ̃manɥəl makɛt
Max Brisson;ma brisɔ̃
Marie Guévenoux;mari ɡɥɛ́vɛnu
Jacques Fernique;ʒakk fɛrnik
Frédéric Cabrolier;frederik kabrɔlí
Martine Froger;martinə frɔʒe
Antoinette Guhl;ɑ̃twanɛtə ɡyl
Timothée Houssin;timɔte usɛ̃
Laurent Alexandre;lor alɛxɑ̃dr
Laurence Boone;lorɑ̃sə bɔɔn
Antoine Vermorel-Marques;ɑ̃twanə vɛrmɔrəlmark
Claudine Thomas;klodinə tɔma
Céline Calvez;selinə kalve
