Amélie de Montchalin;ameli də mɔ̃tʃalɛ̃
Alain Chatillon;alɛ̃ ʃatilɔ̃
Chatillon;ʃatilɔ̃
Julien Bargeton;ʒyliɑ̃ barʒɛtɔ̃
Bargeton;barʒɛtɔ̃
Pascale Boyer;paskalə bwá
Boyer;bwá
Karine Lebon;karinə lɛbɔ̃
Lebon;ləbɔ̃
Françoise Dumont;frɑ̃swazə dymɔ̃t
Dumont;dymɔ̃t
Dominique Potier;dɔminikə pɔtje
Potier;pɔtje
Romain Baubry;rɔmɛ̃ bobri
Baubry;bobri
Michel Sala;miʃɛl sala
Sala;sala
Jean-Pierre Moga;ʒəɑ̃piɛrrə mɔɡa
Moga;mɔɡa
Pierre-Henri Dumont;piɛrrəɑ̃ri dymɔ̃t
Caroline Colombier;karɔlinə kɔlɔ̃bí
Colombier;kɔlɔ̃bí
Mounir Belhamiti;munir bɛlamitj
Belhamiti;bəlamitj
Bertrand Petit;bɛrtrɑ̃d pɛtit
Petit;pətit
Anne Ventalon;ɑ̃nə vɑ̃talɔ̃
Ventalon;vɑ̃talɔ̃
Prisca Thevenot;priska təvɛnɔ
Thevenot;təvɛnɔ
Françoise Buffet;frɑ̃swazə byfɛt
Buffet;byfɛt
Alain Cazabonne;alɛ̃ kazabɔ̃n
Cazabonne;kazabɔ̃n
Bruno Le Maire;brynɔ lə mɛr
Le Maire;lə mɛr
José Gonzalez;ʒɔze ɡɔ̃zale
Gonzalez;ɡɔ̃zale
Paul-André Colombani;polɑ̃dre kɔlɔ̃bani
Colombani;kɔlɔ̃bani
Fabien Gay;fabiɑ̃ ɡɛ
Gay;ɡɛ
Marc Laménie;mark lameni
Laménie;lameni
Fabien Roussel;fabiɑ̃ rusɛl
Roussel;rusɛl
Nicolas Thierry;nikɔla tiɛrri
Thierry;tiɛrri
Isabelle Florennes;izabələ flɔrɑ̃n
Florennes;flɔrɑ̃n
Brigitte Liso;briʒitə lizɔ
Liso;lizɔ
Jean-François Rousset;ʒəɑ̃frɑ̃swa rusɛt
Rousset;rusɛt
Jean-François Carenco;ʒəɑ̃frɑ̃swa karɑ̃kɔ
Carenco;karɑ̃kɔ
Khalifé Khalifé;kalife kalife
Khalifé;kalife
Jean-Louis Thiériot;ʒəɑ̃lwi tíriɔ
Thiériot;tíriɔ
Loïc Kervran;loik kɛrvrɑ̃
Kervran;kɛrvrɑ̃
Jean Hingray;ʒəɑ̃ ɛ̃ɡrɛ
Hingray;ɛ̃ɡrɛ
Fabienne Colboc;fabiɑ̃nə kɔlbɔk
Colboc;kɔlbɔk
Jean-Marie Mizzon;ʒəɑ̃mari mizzɔ̃
Mizzon;mizzɔ̃
Hubert Brigand;ybɛr briɡɑ̃d
Brigand;briɡɑ̃d
José Beaurain;ʒɔze borɛ̃
Beaurain;borɛ̃
Muriel Jourda;myriɛl ʒurda
Annick Cousin;ɑ̃nikk kuzɛ̃
Cousin;kuzɛ̃
Fabrice Brun;fabrizə brœ̃
Brun;brœ̃
Joël Aviragnet;ʒɔɛl aviraɲɛt
Aviragnet;aviraɲɛt
Pierre Frogier;piɛrrə frɔʒí
Frogier;frɔʒí
Stella Dupont;stəla dypɔ̃t
Dupont;dypɔ̃t
Anthony Brosse;ɑ̃tɔni brɔs
Brosse;brɔs
Fabien Di Filippo;fabiɑ̃ di filipɔ
Di Filippo;di filipɔ
Eva Sas;əva sa
Sas;sa
Vanina Paoli-Gagin;vanina paɔliɡaʒɛ̃
Paoli-Gagin;paɔliɡaʒɛ̃
Jean-Yves Bony;ʒəɑ̃iv bɔni
Bony;bɔni
Frantz Gumbs;frɑ̃tz ɡymb
Gumbs;ɡymb
Sébastien Meurant;sebastjɑ̃ mœrɑ̃t
Meurant;mœrɑ̃t
Olivier Bitz;ɔliví bitz
Bitz;bitz
Pierre Cazeneuve;piɛrrə kazɛnœv
Cazeneuve;kazɛnœv
Philippe Dunoyer;filipə dynwá
Dunoyer;dynwá
Olivier Rietmann;ɔliví riɛtmɑ̃n
Rietmann;riɛtmɑ̃n
Céline Boulay-Espéronnier;selinə bulɛɛsperɔ̃ní
Boulay-Espéronnier;bulɛɛsperɔ̃ní
Angélique Ranc;ɑ̃ʒelikə rɑ̃
Ranc;rɑ̃
Anne Bergantz;ɑ̃nə bɛrɡɑ̃tz
Bergantz;bɛrɡɑ̃tz
Christian Bruyen;ʃristjɑ̃ brɥiɑ̃
Bruyen;brɥiɑ̃
Laurent Lafon;lorə lafɔ̃
Lafon;lafɔ̃
Isabelle Valentin;izabɛlə valɑ̃tɛ̃
Valentin;valɑ̃tɛ̃
François Gernigon;frɑ̃swa ʒɛrniɡɔ̃
Gernigon;ʒɛrniɡɔ̃
Henri Leroy;ɑ̃ri lɛrwa
Leroy;lərwa
Mathieu Darnaud;matjœ darno
Darnaud;darno
Liliana Tanguy;liliana tɑ̃ɡyi
Tanguy;tɑ̃ɡyi
Jean-Philippe Ardouin;ʒəɑ̃filip ardwə̃
Ardouin;ardwə̃
Christophe Bex;ʃristɔfə bɛ
Bex;bɛ
Christelle D'Intorni;ʃristɛlə d'ɛ̃tɔrni
D'Intorni;d'ɛ̃tɔrni
Jean-Pierre Sueur;ʒəɑ̃piɛrrə sɥœr
Sueur;sɥœr
Marie-Noëlle Battistel;marinɔɛlə batistɛl
Battistel;batistɛl
Justine Gruet;ʒystinə ɡrɥɛt
Gruet;ɡrɥət
Francis Szpiner;frɑ̃si szpine
Szpiner;szpine
Meyer Habib;mɛe abib
Habib;abib
Agnès Evren;aɲɛ ɛvrɑ̃
Evren;ɛvrɑ̃
Annie Vidal;ɑ̃ni vidal
Vidal;vidal
Matthias Tavel;matia tavɛl
Tavel;tavɛl
Jean-Noël Guérini;ʒəɑ̃nɔɛl ɡɥɛ́rini
Guérini;ɡɥɛ́rini
Claire Colomb-Pitollat;klɛrə kɔlɔ̃bpitɔla
Colomb-Pitollat;kɔlɔ̃bpitɔla
Jean-Jacques Panunzi;ʒəɑ̃ʒakk panœ̃zi
Panunzi;panœ̃zi
Murielle Lepvraud;myriɛlə lɛpvro
Lepvraud;lɛpvro
Bruno Studer;brynɔ styde
Studer;styde
Clément Beaune;klemɛn bon
Beaune;bon
Saïd Omar Oili;sai ɔmar ɔji
Omar Oili;ɔmar ɔji
Éric Kerrouche;erik kɛrruʃ
Kerrouche;kɛrruʃ
Vivette Lopez;vivɛtə lɔpe
Lopez;lɔpe
Yannick Monnet;iɑ̃nikk mɔ̃nɛt
Monnet;mɔ̃nɛt
Mathilde Panot;matildə panɔ
Panot;panɔ
Laurent Jacobelli;lorə ʒakɔbɛli
Jacobelli;ʒakɔbɛli
Nathalie Goulet;natali ɡulɛt
Goulet;ɡulɛt
Anne-Sophie Romagny;ɑ̃nəsɔfi rɔmaɲi
Romagny;rɔmaɲi
Hervé Marseille;ɛrve marsɛj
Marseille;marsɛj
Frédérique Gerbaud;frederikə ʒɛrbo
Gerbaud;ʒɛrbo
Jean-Pierre Grand;ʒəɑ̃piɛrrə ɡrɑ̃d
Grand;ɡrɑ̃d
Rémy Pointereau;remi pwɛ̃tɛro
Pointereau;pwɛ̃tɛro
Aymeric Caron;ɛmɛrik karɔ̃
Caron;karɔ̃
Véronique de Montchalin;verɔnikə də mɔ̃tʃalɛ̃
Éric Bothorel;erik bɔtɔrɛl
Bothorel;bɔtɔrɛl
Philippe Paul;filipə pol
Paul;pol
Ronan Dantec;rɔnɑ̃ dɑ̃tɛk
Dantec;dɑ̃tɛk
Angèle Préville;ɑ̃ʒɛlə previj
Préville;previj
Brigitte Micouleau;briʒitə mikulo
Micouleau;mikulo
Sylvain Carrière;silvɛ̃ karrìr
Carrière;karrìr
Gilles Le Gendre;ʒil lə ʒɑ̃dr
Le Gendre;lə ʒɑ̃dr
Pierre Dharréville;piɛrrə darrevij
Dharréville;darrevij
Guillaume Gontard;ɡyjomə ɡɔ̃tar
Gontard;ɡɔ̃tar
Jean-Marie Fiévet;ʒəɑ̃mari fívɛt
Fiévet;fívɛt
Éric Alauzet;erik alozɛt
Alauzet;alozɛt
Christine Bonfanti-Dossat;ʃristinə bɔ̃fɑ̃tidɔsa
Bonfanti-Dossat;bɔ̃fɑ̃tidɔsa
Estelle Folest;ɛstɛlə fɔl
Folest;fɔl
Constance Le Grip;kɔ̃stɑ̃sə lə ɡri
Le Grip;lə ɡri
Thomas Gassilloud;tɔma ɡasilu
Gassilloud;ɡasilu
Steve Chailloux;stəvə ʃaju
Chailloux;ʃaju
Freddy Sertin;frɛdi sɛrtɛ̃
Sertin;sɛrtɛ̃
Pascal Allizard;paskal alizar
Allizard;alizar
Julie Laernoes;ʒyli laɛrnɔ
Laernoes;laɛrnɔ
Victoire Jasmin;viktwarə ʒasmɛ̃
Jasmin;ʒasmɛ̃
Frédérique Meunier;frederikə mœní
Anne-Laurence Petel;ɑ̃nəlorɑ̃sə pətɛl
Petel;pətɛl
Guislain Cambier;ɡyislɛ̃ kɑ̃bí
Cambier;kɑ̃bí
Mélanie Thomin;melani tɔmɛ̃
Thomin;tɔmɛ̃
Jean-Victor Castor;ʒəɑ̃viktɔr kastɔr
Castor;kastɔr
Jean-Michel Houllegatte;ʒəɑ̃miʃəl ulɛɡat
Houllegatte;ulɛɡat
Tematai Le Gayic;təmatɛ lə ɡɛik
Le Gayic;lə ɡɛik
Xavier Breton;ksaví brɛtɔ̃
Breton;brətɔ̃
Frédéric Valletoux;frederik valɛtu
Valletoux;valɛtu
Annie Le Houerou;ɑ̃ni lə wɛru
Le Houerou;lə wɛru
Franck Montaugé;frɑ̃kk mɔ̃toʒe
Montaugé;mɔ̃toʒe
Olivier Paccaud;ɔliví pakso
Paccaud;pakso
Victor Habert-Dassault;viktɔr abɛrdasol
Habert-Dassault;abɛrdasol
Aurélien Lopez-Liguori;oreliɑ̃ lɔpeliɡyɔri
Lopez-Liguori;lɔpeliɡyɔri
Claude Kern;klodə kɛrn
Kern;kɛrn
Laurent Panifous;lorə panifu
Panifous;panifu
Raphaël Daubet;rafaə̈l dobɛt
Daubet;dobɛt
Michel Bonnus;miʃɛl bɔ̃ny
Bonnus;bɔ̃ny
Francesca Pasquini;frɑ̃sɛska paskini
Pasquini;paskini
Sophie Blanc;sɔfi blɑ̃
Blanc;blɑ̃
Hadrien Ghomi;adriɑ̃ ɡɔmi
Ghomi;ɡɔmi
Jean-Jacques Michau;ʒəɑ̃ʒakk miʃo
Michau;miʃo
Nicolas Dupont-Aignan;nikɔla dypɔ̃tɛɲɑ̃
Dupont-Aignan;dypɔ̃tɛɲɑ̃
Anne Souyris;ɑ̃nə sɔɥiri
Souyris;sɔɥiri
Élodie Jacquier-Laforge;elɔdi ʒakkílafɔrʒ
Jacquier-Laforge;ʒakkílafɔrʒ
Karen Erodi;karɑ̃ ɛrɔdi
Erodi;ərɔdi
François Calvet;frɑ̃swa kalvɛt
Calvet;kalvɛt
Christian Baptiste;ʃristjɑ̃ baptist
Baptiste;baptist
Bertrand Bouyx;bɛrtrɑ̃d bɔɥi
Bouyx;bɔɥi
Éric Dupond-Moretti;erik dypɔ̃dmɔrɛti
Dupond-Moretti;dypɔ̃dmɔrɛti
Kévin Pfeffer;kevɛ̃ pfɛfe
Pfeffer;pfɛfe
Julien Dive;ʒyliɑ̃ div
Dive;div
Alexandre Portier;alɛxɑ̃drə pɔrtje
Portier;pɔrtje
Quentin Bataillon;kɑ̃tɛ̃ batajɔ̃
Bataillon;batajɔ̃
Xavier Iacovelli;ksaví iakɔvɛli
Iacovelli;iakɔvɛli
Edwige Diaz;ɛdwiʒə diaz
Diaz;diaz
Daniel Grenon;danil ɡrɛnɔ̃
Grenon;ɡrənɔ̃
Alain Joyandet;alɛ̃ ʒwaɑ̃dɛt
Joyandet;ʒwaɑ̃dɛt
Bruno Retailleau;brynɔ rɛtajo
Retailleau;rətajo
Olga Givernet;ɔlɡa ʒivɛrnɛt
Givernet;ʒivɛrnɛt
Julie Delpech;ʒyli dɛlpɛʃ
Delpech;dɛlpɛʃ
Alexandra Masson;alɛxɑ̃dra masɔ̃
Masson;masɔ̃
Anne Stambach-Terrenoir;ɑ̃nə stɑ̃baʃətɛrrɛnwar
Stambach-Terrenoir;stɑ̃baʃətɛrrɛnwar
Jean-François Rapin;ʒəɑ̃frɑ̃swa rapɛ̃
Rapin;rapɛ̃
Cécile Cukierman;sesilə kykiɛrmɑ̃
Cukierman;kykiɛrmɑ̃
Bernard Jomier;bɛrnar ʒɔmí
Jomier;ʒɔmí
Vincent Delahaye;vɛ̃kɛn dɛlaɛ
Delahaye;dəlaɛ
Chantal Bouloux;ʃɑ̃tal bulu
Bouloux;bulu
Véronique Del Fabro;verɔnikə dɛl fabrɔ
Del Fabro;dəl fabrɔ
Béatrice Bellamy;beatrizə bɛlami
Florence Blatrix Contat;flɔrɑ̃sə blatri kɔ̃ta
Blatrix Contat;blatri kɔ̃ta
Lisette Pollet;lizɛtə pɔlɛt
Pollet;pɔlɛt
Marie-Claire Carrère-Gée;mariklɛrə karrɛrəʒe
Carrère-Gée;karrɛrəʒe
Ugo Bernalicis;yɡɔ bɛrnalizi
Bernalicis;bɛrnalizi
Émilienne Poumirol;emiliɑ̃nə pumirɔl
Poumirol;pumirɔl
Violette Spillebout;viɔlɛtə spilɛbu
Spillebout;spilɛbu
Sylvie Valente Le Hir;silvi valɑ̃tə lə ir
Valente Le Hir;valɑ̃tə lə ir
Else Joseph;ɛlsə ʒɔzɛf
Joseph;ʒɔzɛf
Christophe Blanchet;ʃristɔfə blɑ̃ʃɛt
Blanchet;blɑ̃ʃɛt
Cyrille Isaac-Sibille;sirij izaaksibij
Isaac-Sibille;izaaksibij
Christine Le Nabour;ʃristinə lə nabur
Le Nabour;lə nabur
Justine Benin;ʒystinə bɛnɛ̃
Benin;bənɛ̃
Olivier Becht;ɔliví bɛʃ
Becht;bɛʃ
Roger Chudeau;rɔʒe ʃydo
Chudeau;ʃydo
Josiane Corneloup;ʒɔzianə kɔrnɛlu
Corneloup;kɔrnɛlu
Nathalie Bassire;natali basir
Bassire;basir
Olivier Falorni;ɔliví falɔrni
Falorni;falɔrni
Nicole Le Peih;nikɔlə lə pɛ
Le Peih;lə pɛ
Hélène Conway-Mouret;elɛnə kɔ̃wɛmurɛt
Conway-Mouret;kɔ̃wɛmurɛt
Alexandre Sabatou;alɛxɑ̃drə sabatu
Sabatou;sabatu
Daniel Gremillet;danil ɡrəmilɛt
Gremillet;ɡrəmilɛt
Vincent Segouin;vɛ̃kɛn sɛɡwə̃
Segouin;sɛɡwə̃
Caroline Cayeux;karɔlinə kɛy
Cayeux;kɛy
Jean-Philippe Nilor;ʒəɑ̃filipə nilɔr
Nilor;nilɔr
Akli Mellouli;akli mɛluli
Mellouli;məluli
Yannick Favennec-Bécot;iɑ̃nikk favɑ̃nɛkbekɔ
Favennec-Bécot;favɑ̃nɛkbekɔ
Didier Paris;didí pari
Paris;pari
Jean-Raymond Hugonet;ʒəɑ̃rɛmɔ̃d yɡɔnɛt
Hugonet;yɡɔnɛt
Damien Regnard;damiɑ̃ rɛɲar
Regnard;rɛɲar
Michel Savin;miʃɛl savɛ̃
Savin;savɛ̃
Albéric de Montgolfier;alberik də mɔ̃tɡɔlfí
de Montgolfier;də mɔ̃tɡɔlfí
Jean Bacci;ʒəɑ̃ baksi
Bacci;baksi
Roger Karoutchi;rɔʒe karutʃi
Karoutchi;karutʃi
Laetitia Saint-Paul;laətitja sɛ̃pol
Saint-Paul;sɛ̃pol
Richard Ramos;riʃar ramɔ
Ramos;ramɔ
Laurence Vichnievsky;lorɑ̃sə viʃniɛvski
Vichnievsky;viʃniɛvski
Ian Boucard;iɑ̃ bukar
Boucard;bukar
Danielle Brulebois;danilə brylɛbwa
Brulebois;brylɛbwa
Jean-Michel Jacques;ʒəɑ̃miʃəl ʒakk
Jacques;ʒakk
Luc Geismar;lyk ʒɛsmar
Geismar;ʒɛsmar
Philippe Grosvalet;filipə ɡrɔsvalɛt
Grosvalet;ɡrɔsvalɛt
Thomas Portes;tɔma pɔrt
Portes;pɔrt
Pascale Gruny;paskalə ɡryni
Gruny;ɡryni
Philippe Bas;filipə ba
Bas;ba
Pierre Laurent;piɛrrə lor
Laurent;lor
Lionel Royer-Perreaut;liɔnɛl rwápɛrro
Royer-Perreaut;rwápɛrro
Élisa Martin;eliza martɛ̃
Martin;martɛ̃
Sandrine Le Feur;sɑ̃drinə lə fœr
Le Feur;lə fœr
Damien Maudet;damiɑ̃ modɛt
Maudet;modɛt
Jean-Paul Prince;ʒəɑ̃pol prɛ̃k
Prince;prɛ̃k
Farida Amrani;farida ɑ̃rani
Amrani;ɑ̃rani
Bernard Fialaire;bɛrnar fialɛr
Fialaire;fialɛr
Stéphane Mazars;stefanə mazar
Mazars;mazar
Rachid Temal;raʃi tɛmal
Temal;təmal
Pascale Martin;paskalə martɛ̃
Annie Genevard;ɑ̃ni ʒənɛvar
Genevard;ʒənɛvar
Alexis Corbière;alɛxi kɔrbìr
Corbière;kɔrbìr
Aurélien Taché;oreliɑ̃ taʃe
Taché;taʃe
Cyrielle Chatelain;sirilə ʃatɛlɛ̃
Chatelain;ʃatɛlɛ̃
Viviane Malet;vivianə malɛt
Malet;malɛt
Martine Etienne;martin ɛtjɑ̃n
Etienne;ətjɑ̃n
Jean-Paul Mattei;ʒəɑ̃pol matɛ
Mattei;matɛ
Emmanuel Pellerin;ɑ̃manɥəl pəlɛrɛ̃
Pellerin;pəlɛrɛ̃
Pierre Ouzoulias;piɛrr uzulia
Ouzoulias;uzulia
Isabelle Rauch;izabɛlə roʃ
Rauch;roʃ
Évelyne Renaud-Garabedian;evəlinə rənoɡarabɛdiɑ̃
Renaud-Garabedian;rənoɡarabɛdiɑ̃
Laurent Somon;lorə sɔmɔ̃
Somon;sɔmɔ̃
Nicolas Metzdorf;nikɔla mɛtzdɔrf
Metzdorf;mɛtzdɔrf
Jean-Félix Acquaviva;ʒəɑ̃feli akkaviva
Acquaviva;akkaviva
André Chassaigne;ɑ̃dre ʃasɛɲ
Chassaigne;ʃasɛɲ
Raphaël Schellenberger;rafaə̈l sʃɛlɑ̃bɛrʒe
Schellenberger;sʃəlɑ̃bɛrʒe
Patricia Mirallès;patrizia miralɛ
Mirallès;miralɛ
Lauriane Josende;lorianə ʒɔzɑ̃d
Josende;ʒɔzɑ̃d
Didier Le Gac;didí lə ɡak
Le Gac;lə ɡak
David Valence;davi valɑ̃s
Valence;valɑ̃s
Nicolas Sansu;nikɔla sɑ̃sy
Sansu;sɑ̃sy
Martine Berthet;martinə bɛrtɛt
Berthet;bɛrtɛt
Daniel Gueret;danil ɡɥɛrɛt
Gueret;ɡɥɛrɛt
Michel Herbillon;miʃɛl ɛrbilɔ̃
Herbillon;ɛrbilɔ̃
Cédric Vial;sedrik vial
Vial;vial
Marie Mercier;mari mɛrkí
Mercier;mɛrkí
Fatiha Keloua Hachi;fatja kɛlwa aʃi
Keloua Hachi;kɛlwa aʃi
Yan Chantrel;iɑ̃ ʃɑ̃trɛl
Chantrel;ʃɑ̃trɛl
Mathilde Desjonquères;matildə dɛsʒɔ̃kɛr
Desjonquères;dɛsʒɔ̃kɛr
Marie-Noëlle Lienemann;marinɔɛlə ljɛ̃ɛmɑ̃n
Lienemann;ljɛ̃ɛmɑ̃n
Benoit Mournet;bənwat murnɛt
Mournet;murnɛt
Laurence Heydel Grillere;lorɑ̃s ɛdəl ɡrilɛr
Heydel Grillere;ɛdəl ɡrilɛr
Thierry Cozic;tiɛrri kɔzik
Cozic;kɔzik
Marie-Arlette Carlotti;mariarlɛtə karlɔti
Carlotti;karlɔti
Pieyre-Alexandre Anglade;piirəalɛxɑ̃dr ɑ̃ɡlad
Anglade;ɑ̃ɡlad
François-Noël Buffet;frɑ̃swanɔɛl byfɛt
Nadège Abomangoli;nadɛʒ abɔmɑ̃ɡɔli
Abomangoli;abɔmɑ̃ɡɔli
Solanges Nadille;sɔlɑ̃ʒ nadij
Nadille;nadij
